poi_type,Cut_off,Effect_size,Effect_size_abs,Effect_size_abs_std,Effect_size_std,Effect_var,Effect_size_percentage,iteration
Education,0.5142168381922351,-0.003905013389600205,0.0389409367982371,0.1104169370340029,0.11701729535894385,0.4195784347921582,-291.09847140723673,50
Public Transportation,0.3961350406735056,0.0011370556964402482,0.008259239039309254,0.042900389608267794,0.043673396506257844,0.4152035671589128,84.76159800633476,50
Restaurant,0.3816079685819524,-0.007119912644427866,0.013556878676063885,0.04106859462209684,0.04265823798057479,0.4016415746740646,-358.2458020904551,60
Store,0.3761265938652865,0.00198743784376017,0.014306533907791796,0.05595051777947435,0.05771643997218871,0.40331246717701785,100.0,60
Education,0.5180890609870754,-0.0054773621978376425,0.03818133542457233,0.10736745648744328,0.11382259701280949,0.41277741249234046,-275.599169807225,60
Public Transportation,0.38827300791148756,0.0008007210907239458,0.007954621789463824,0.04175620623506545,0.042499595441528634,0.4075750270089478,40.28911360613958,60
Restaurant,0.3732171359310428,-0.006806762782275539,0.012823339288094353,0.040885865960216615,0.04230555573728127,0.3934979627347027,-367.71700802650406,70
Store,0.3685102672610924,0.001851087285520643,0.013373853925469593,0.05389105907819134,0.055494861863512115,0.39616731413554734,100.0,70
Education,0.5234254790101118,-0.0067350809205198045,0.0379537442371382,0.10687102900338472,0.11321016838983348,0.4077547641443643,-363.8445887021191,70
Public Transportation,0.38210278948705634,0.0005512953370334837,0.007704506202952903,0.04088399151821387,0.04159995494882282,0.4014979574722497,29.782244270476127,70
Restaurant,0.3661740824794551,-0.0066560127294909436,0.012011364861073006,0.04009551071356232,0.04132336336447053,0.38634636225063823,-378.60349728266584,80
Store,0.36313816918532327,0.0017580431182656394,0.012793714290470921,0.05270158077340167,0.05420373627118244,0.3900043664901787,100.0,80
Education,0.5363805165941176,-0.007847456317319104,0.03769527747340177,0.10624584769428323,0.11246124454860593,0.4041664869866741,-446.37450787104973,80
Public Transportation,0.37751892824902433,0.00042892801479553,0.007577963557806894,0.040406894976608765,0.04110910743487705,0.3964987208477996,24.39803724601931,80
