iteration,likelihood
1.0,-71103.54133528513
10.0,-44278.03795429468
20.0,-28815.928721499058
30.0,-20879.92446286431
40.0,-16251.996496892561
50.0,-13251.124791382077
60.0,-11223.75106054049
70.0,-9777.737790422909
80.0,-8693.682248285499
90.0,-7854.585041252898
100.0,-7180.29147331153
110.0,-6624.266978508778
120.0,-6155.759856745863
130.0,-5752.370987594113
140.0,-5405.137953268927
150.0,-5100.604051254778
160.0,-4833.189126802421
170.0,-4596.672026554005
180.0,-4386.43530907411
190.0,-4198.041524759349
200.0,-4026.9728763763615
210.0,-3870.5186441012247
220.0,-3727.0361738621077
230.0,-3595.116003788977
240.0,-3473.280685017705
250.0,-3360.1924754270203
260.0,-3254.5565173399136
270.0,-3156.1298494018683
280.0,-3063.8949269200475
290.0,-2977.3523174177226
300.0,-2896.0648924263096
310.0,-2819.4769585362656
320.0,-2747.143929515559
330.0,-2678.7549779522215
340.0,-2613.9451803423162
350.0,-2552.442789699222
360.0,-2493.9884718509343
370.0,-2438.34159943521
380.0,-2385.306116198488
390.0,-2334.662137612767
400.0,-2286.0921312717364
410.0,-2239.4780113964657
420.0,-2194.812416150997
430.0,-2152.0585017124777
440.0,-2110.319832002163
450.0,-2068.977913782888
460.0,-2030.3896054710222
470.0,-1993.3709503948676
480.0,-1958.000060418203
490.0,-1924.069826030216
500.0,-1891.4449148441045
