MEAN_LIK_IS,MEAN_LIK_OOS,RMSE_IS,RMSE_OOS,TOTAL_LIK_IS,TOTAL_LIK_OOS,iteration,mean_gaussian_lik_is_with_computed_var,mean_gaussian_lik_is_with_model_var,mean_gaussian_lik_oos_with_computed_var,mean_gaussian_lik_oos_with_model_var,total_gaussian_lik_is_with_computed_var,total_gaussian_lik_is_with_model_var,total_gaussian_lik_oos_with_computed_var,total_gaussian_lik_oos_with_model_var,var_is,var_model,var_oos
-1.984715225337611,-2.2124727849470838,1.7209874312458158,2.0579736060733724,-460.45393227832574,-121.68600317208961,1.0,-1.984715225337611,-145.24518327947283,-2.2124727849470838,-208.28772807339638,-460.45393227832574,-33696.882520837695,-121.68600317208961,-11455.825044036801,2.2206445032220237,0.010099985882163433,2.5892791082116218
-1.5734067124265148,-1.7526887099655106,1.166797757253634,1.3916245040783375,-365.0303572829514,-96.39787904810308,20.0,-1.5734067124265148,-55.312417319109485,-1.7526887099655106,-79.22766209240386,-365.0303572829514,-12832.4808180334,-96.39787904810308,-4357.521415082212,1.3231517798463406,0.012025838737420816,1.7307820660906026
-1.39258215520645,-1.5975314702732137,0.9739877425307464,1.1954253985768502,-323.0790600078964,-87.86423086502676,40.0,-1.39258215520645,-33.230224041852054,-1.5975314702732137,-50.677465428887196,-323.0790600078964,-7709.411977709677,-87.86423086502676,-2787.260598588796,0.9478429624726445,0.013766925965713245,1.4021451393225295
-1.2955402068689474,-1.557634156402546,0.8839114633133692,1.1486347171721254,-300.5653279935958,-85.66987860214003,60.0,-1.2955402068689474,-24.581881828054023,-1.557634156402546,-42.32029947614253,-300.5653279935958,-5702.996584108533,-85.66987860214003,-2327.616471187839,0.7809514046134717,0.015166579375649338,1.2906879751202074
-1.2359515459106925,-1.5467808113950812,0.8327789880726607,1.1360708888927018,-286.74075865128066,-85.07294462672947,80.0,-1.2359515459106925,-20.05808858056905,-1.5467808113950812,-38.30795832130559,-286.74075865128066,-4653.476550692019,-85.07294462672947,-2106.9377076718074,0.6934211591246109,0.01636001325207348,1.2494144442638602
-1.193578526580231,-1.545866455979341,0.798228795070221,1.1350157943637633,-276.9102181666136,-85.02265507886375,100.0,-1.193578526580231,-17.153970795667046,-1.545866455979341,-35.81224803756604,-276.9102181666136,-3979.721224594755,-85.02265507886375,-1969.6736420661323,0.6370756850457874,0.017447796378377785,1.2459923844195497
-1.1584958148559235,-1.5462806549636146,0.7707103014025876,1.1354773925725223,-268.77102904657426,-85.0454360229988,120.0,-1.1584958148559235,-14.993783916047898,-1.5462806549636146,-33.80532216920364,-268.77102904657426,-3478.557868523112,-85.0454360229988,-1859.2927193062003,0.593946187760112,0.01848106547689113,1.2464517166380815
-1.12682939065721,-1.5434883040487206,0.7466870355415497,1.132305570259685,-261.42441863247274,-84.89185672267963,140.0,-1.12682939065721,-13.257775377666194,-1.5434883040487206,-31.8521872861287,-261.42441863247274,-3075.803887618557,-84.89185672267963,-1751.8703007370784,0.5575084021200817,0.019483659363959814,1.2391432175588117
-1.099095846113528,-1.5445410090959644,0.7262632781724457,1.1335006261713922,-254.99023629833852,-84.94975550027804,160.0,-1.099095846113528,-11.859728031195985,-1.5445410090959644,-30.361358460687896,-254.99023629833852,-2751.4569032374684,-84.94975550027804,-1669.8747153378342,0.5274305566464876,0.02046752915088766,1.241914965672583
-1.0752302099235151,-1.5457811918678952,0.7091357358240248,1.1349123835971902,-249.4534087022555,-85.01796555273424,180.0,-1.0752302099235151,-10.724864059329072,-1.5457811918678952,-29.034859735289274,-249.4534087022555,-2488.1684617643446,-85.01796555273424,-1596.91728544091,0.5028482073465796,0.02144054647840324,1.2453380340131581
