iteration,likelihood
1780.0,-605.1949486045432
1790.0,-602.2024841436844
1800.0,-599.2391154141914
1810.0,-596.3048618127859
1820.0,-593.4050990986347
1830.0,-590.5377789063531
1840.0,-587.702187392865
1850.0,-584.8979366415256
1860.0,-582.1256050622433
1870.0,-579.3847386595592
1880.0,-576.6992631041581
1890.0,-573.998380122024
1900.0,-571.3469146212391
1910.0,-568.7092671380461
1920.0,-566.0930089050469
1930.0,-563.5036216016988
1940.0,-560.9356266625708
1950.0,-558.3967995573626
1960.0,-555.8885113716848
1970.0,-553.4132223294392
1980.0,-550.968076135938
1990.0,-548.5505967257491
2000.0,-546.1600135975257
2010.0,-543.7954650694492
2020.0,-541.4551833840997
2030.0,-539.1403803920989
2040.0,-536.8384307322564
2050.0,-534.5523841796746
2060.0,-532.2953035059356
2070.0,-530.0716187509487
2080.0,-527.8754302877466
2090.0,-525.7035420844887
2100.0,-523.5565765139811
2110.0,-521.4469134375396
2120.0,-519.3496046515257
2130.0,-517.2651263471846
2140.0,-515.2075154121258
2150.0,-513.1744195684054
2160.0,-511.16261057923316
2170.0,-509.1725617330627
2180.0,-507.2015551136212
2190.0,-505.25195978419407
2200.0,-503.3224938689392
2210.0,-501.4127613720132
2220.0,-499.52296875600297
2230.0,-497.6531701987926
2240.0,-495.80330894540066
2250.0,-493.97329134827936
2260.0,-492.1619349551148
2270.0,-490.36912626346435
2280.0,-488.5946394322042
2290.0,-486.8391752301327
2300.0,-485.102302852879
2310.0,-483.3833236342506
2320.0,-481.68169698371173
2330.0,-479.997476709941
2340.0,-478.3291173334517
2350.0,-476.67758619290936
2360.0,-475.0422467460895
2370.0,-473.4231469700959
2380.0,-471.8197607034106
2390.0,-470.23210378578574
2400.0,-468.6608710676337
2410.0,-467.1049181060805
2420.0,-465.5647182746675
2430.0,-464.0384352671429
2440.0,-462.5256485545136
2450.0,-461.0276198121095
2460.0,-459.5458566031504
2470.0,-458.0789835821581
2480.0,-456.6270237311972
2490.0,-455.1899350674719
2500.0,-453.76708574053066
2510.0,-452.3586887249709
2520.0,-450.96361525794487
2530.0,-449.58349895101605
2540.0,-448.2164243983662
2550.0,-446.86294383476445
2560.0,-445.52269422537563
2570.0,-444.1956786503676
2580.0,-442.88010062801027
2590.0,-441.57979355615873
2600.0,-440.2899875724712
2610.0,-439.0130359437635
2620.0,-437.7485793612974
2630.0,-436.4973757376718
2640.0,-435.25855534448635
2650.0,-434.03158784094296
2660.0,-432.8164712355428
2670.0,-431.6127162980041
2680.0,-430.42112312085965
2690.0,-429.2420978570168
2700.0,-428.07271158324613
2710.0,-426.91499711373154
2720.0,-425.76861663595463
2730.0,-424.6332003990181
2740.0,-423.5091679564956
2750.0,-422.3964192952649
2760.0,-421.2941111003654
2770.0,-420.2029441951239
2780.0,-419.12275494240043
2790.0,-418.053253799206
2800.0,-416.99379996540495
2810.0,-415.94516408935044
2820.0,-414.90628609174325
2830.0,-413.87767602295156
2840.0,-412.8589063732617
2850.0,-411.8492549703851
2860.0,-410.8499320716767
2870.0,-409.8597539364417
2880.0,-408.87945318343805
2890.0,-407.9086424379658
2900.0,-406.9469274676445
2910.0,-405.9943341362899
2920.0,-405.05072480975593
2930.0,-404.115657547655
2940.0,-403.1895903233958
2950.0,-402.2703724856662
2960.0,-401.35712322939634
2970.0,-400.4524362200988
2980.0,-399.5567376265254
2990.0,-398.67260744928274
3000.0,-397.79753511289687
