,class,prior,transform,trainable,shape,fixed_shape,value
svgp_20250417_061233_719696/mean_function/weights1,Parameter,None,(none),True,"(5, 4)",True,"[[ 0.25009271  0.11593439  0.19812535  0.55469787]
 [-0.06339613 -0.3717119   0.29597639 -0.11165053]
 [ 0.02494692  0.21937971  0.27852761  0.91022006]
 [-0.40954938  0.89999053  0.87499887  0.634208  ]
 [ 1.45668964  0.77298642  0.86981652  0.19751266]]"
svgp_20250417_061233_719696/mean_function/weights2,Parameter,None,(none),True,"(4, 1)",True,"[[-0.20350737]
 [ 0.18765581]
 [-0.0461824 ]
 [ 0.29277916]]"
