MEAN_LIK_IS,MEAN_LIK_OOS,RMSE_IS,RMSE_OOS,TOTAL_LIK_IS,TOTAL_LIK_OOS,iteration,mean_gaussian_lik_is_with_computed_var,mean_gaussian_lik_is_with_model_var,mean_gaussian_lik_oos_with_computed_var,mean_gaussian_lik_oos_with_model_var,total_gaussian_lik_is_with_computed_var,total_gaussian_lik_is_with_model_var,total_gaussian_lik_oos_with_computed_var,total_gaussian_lik_oos_with_model_var,var_is,var_model,var_oos
-1.9708810726717831,-2.025636816970704,1.7195155032400657,1.8232272860260281,-457.2444088598537,-111.41002493338871,1.0,-1.9708810726717831,-144.99448131403352,-2.025636816970704,-163.18382211676519,-457.2444088598537,-33638.71966485578,-111.41002493338871,-8975.110216422085,2.438723485671063,0.010099985882163433,2.8550648047004747
-1.51096603122648,-1.6760416800726252,1.0963949430583722,1.2929764259794505,-350.54411924454337,-92.18229240399438,20.0,-1.51096603122648,-48.78393915079331,-1.6760416800726252,-68.35095641771458,-350.54411924454337,-11317.873882984048,-92.18229240399438,-3759.3026029743023,1.2017025768302343,0.012002497891405166,1.6306768050433886
-1.355484270768027,-1.598071396824869,0.938516834155615,1.1960613141641052,-314.4723508181823,-87.8939268253678,40.0,-1.355484270768027,-30.89844406418423,-1.598071396824869,-50.94844482522253,-314.4723508181823,-7168.439022890741,-87.8939268253678,-2802.164465387239,0.8799817721749733,0.013709446343632444,1.4024763940886598
-1.282067900904599,-1.5652250680235371,0.8720823871590551,1.1574030907660644,-297.439753009867,-86.08737874129454,60.0,-1.282067900904599,-24.01223800294031,-1.5652250680235371,-43.19149629060354,-297.439753009867,-5570.839216682152,-86.08737874129454,-2375.5322959831947,0.7592149640339065,0.015095845100909625,1.3121515609494152
-1.2319422803020292,-1.5522143359177054,0.829446826474394,1.1423188032496459,-285.8106090300708,-85.37178847547379,80.0,-1.2319422803020292,-19.959185325778716,-1.5522143359177054,-38.87803393917999,-285.8106090300708,-4630.530995580662,-85.37178847547379,-2138.2918666548994,0.687779812287472,0.016304116146694782,1.267313108949144
-1.1940947060663145,-1.5422630379874445,0.798640853536766,1.131015343447627,-277.029971807385,-84.82446708930945,100.0,-1.1940947060663145,-17.197085782948033,-1.5422630379874445,-35.601806437684075,-277.029971807385,-3989.723901643944,-84.82446708930945,-1958.0993540726242,0.6374198186669495,0.017424021429278746,1.2429334155261125
-1.1639382486651852,-1.5378066928682304,0.7749162431098645,1.1259380588562558,-270.033673690323,-84.57936810775267,120.0,-1.1639382486651852,-15.15448683367248,-1.5378066928682304,-33.1891150955594,-270.033673690323,-3515.8409454120156,-84.57936810775267,-1825.401330255767,0.6002423720970799,0.018498893319458823,1.2283520802763028
-1.1386132976246222,-1.5365505596789168,0.7555379686065995,1.124452927895847,-264.1582850489123,-84.51028078234043,140.0,-1.1386132976246222,-13.550766139912087,-1.5365505596789168,-31.288526539464915,-264.1582850489123,-3143.777744459604,-84.51028078234043,-1720.8689596705703,0.5707442572217591,0.01955029128324567,1.220527981030006
-1.1173937079098428,-1.5346810170966954,0.739674662849459,1.1223374365639653,-259.2353402350835,-84.40745594031824,160.0,-1.1173937079098428,-12.263330634542148,-1.5346810170966954,-29.56575358219353,-259.2353402350835,-2845.0927072137783,-84.40745594031824,-1626.116447020644,0.5470150468703926,0.020590258277908686,1.2150310105163014
-1.099058360986627,-1.5332823328433092,0.7262360483558065,1.120762002076487,-254.98153974889746,-84.330528306382,180.0,-1.099058360986627,-11.195799460746375,-1.5332823328433092,-28.04288109611459,-254.98153974889746,-2597.425474893159,-84.330528306382,-1542.3584602863025,0.5273170420821488,0.021626554768905876,1.211227504827638
