poi_type,Cut_off,Effect_size,Effect_size_abs,Effect_size_abs_std,Effect_size_std,Effect_var,Effect_size_percentage,iteration
Restaurant,0.4966722407377923,-0.009145630649007747,0.02996462566953385,0.05141660014619977,0.05880393696123931,0.4975253981821372,7545.098046655251,1
Store,0.49667224073785016,-0.01687130374899894,0.03243621726789124,0.06800792631792454,0.07343395224637657,0.4975253981821857,13918.738449700046,1
Education,0.49667224073799454,-0.003761510731394944,0.06457300364001992,0.1714181233226969,0.1831384635722025,0.4975253981825027,3103.226924542371,1
Public Transportation,0.4966722407381744,-0.00012121288010381805,0.014637674996337384,0.05517802442928146,0.057086436363242,0.49752539818224273,100.0,1
Restaurant,0.46796684884904366,-0.007581117352877325,0.024894462084638955,0.04640172724196195,0.05210931963864873,0.4757804605730926,-12224.680839518269,10
Store,0.46773720623591214,-0.017400403770711455,0.029096738137870126,0.06547857894239505,0.0695074846271641,0.47574287504334767,-28058.447412763566,10
Education,0.4697393639567929,-0.0017229903483780534,0.04959332718087016,0.1413814394120606,0.1498173581910801,0.47576358729138263,-2778.3512796432146,10
Public Transportation,0.4770040596395388,6.201484891425656e-05,0.013453957297781684,0.05304906615342534,0.054728498434358175,0.475581178770182,100.0,10
Restaurant,0.44074278639686204,-0.005753343492269863,0.019640921236684112,0.04125085265877745,0.04532436067681211,0.4540856449487778,-1032.8925834745473,20
Store,0.4378185225198941,-0.014668229888144516,0.02529095959320642,0.06304734755032951,0.06632830242231279,0.4537898781692207,-2633.3741214166166,20
Education,0.44687864147004375,-0.007329696085797276,0.03967154133951165,0.1251352407612686,0.13106843719188496,0.4533844549720026,-1315.8937470558578,20
Public Transportation,0.44667370654595573,0.0005570127605056657,0.012187904153514806,0.05453645094931961,0.05587896944815143,0.45279208430876466,100.0,20
Restaurant,0.4201696028006903,-0.004254660863143855,0.01577832485944762,0.037208755640925566,0.04019135345638418,0.4361253304551177,-660.3313649229526,30
Store,0.4131429851577735,-0.012493190048335065,0.02244321009570909,0.060911586790856134,0.06370117178825142,0.43531416489468544,-1938.966583287936,30
Education,0.42798145959903966,-0.00876233505781144,0.035041661487870926,0.11959870920219529,0.1243181031346459,0.4342508863708931,-1359.9308745753806,30
Public Transportation,0.4156838450871913,0.000644322091778919,0.010892768846690392,0.05099621856425828,0.052142608009602624,0.43310089719627437,100.0,30
Restaurant,0.4062212314809431,-0.003263158465305857,0.013397933119482444,0.034400431771821,0.036772899189377754,0.4217901728981075,-1033.6094180465109,40
Store,0.3987450265078146,-0.011869340905619273,0.019577619280762577,0.05632754015911097,0.0584396586535628,0.420189611654547,-3759.628187380374,40
Education,0.41627702472856903,-0.009052696100447516,0.031586237801875625,0.11335191577705331,0.11732176235514774,0.41935907193309896,-2867.452514984878,40
Public Transportation,0.39324842826235396,0.00031570517918394394,0.009803698179857217,0.04555110671423481,0.046593091238220925,0.41720772518150784,100.0,40
Restaurant,0.3970368930376739,-0.00274383388197407,0.011942769942534704,0.03262989109486522,0.03463828694365826,0.4102858854278785,-48082.406507207736,50
Store,0.3899230627957698,-0.011190075297490906,0.01809815024955103,0.05403921271534022,0.05587988697362938,0.407556656785556,-196092.68361141474,50
Education,0.4101210836429036,-0.008962953511299533,0.030052538149675515,0.1095314479525072,0.11322525603488286,0.40835731595571273,-157065.0384729019,50
Public Transportation,0.38231330819646264,5.7065236149583295e-06,0.00915241472144834,0.04292353603409523,0.04388845643605212,0.40470508263098165,100.0,50
Restaurant,0.3906856067044086,-0.0024195240842383287,0.01091939216044397,0.03127949783028765,0.03304218535258111,0.40070427345457826,1645.9881150408953,60
Store,0.38342610718449877,-0.010474927994581346,0.016730647673305156,0.05172594957946746,0.053345705684471154,0.39683080152761874,7126.032386826912,60
Education,0.40677933595335397,-0.008809292059024856,0.02899261043546747,0.10710486815600048,0.11060931523156549,0.4001615018688583,5992.90997991602,60
Public Transportation,0.3753507733145107,-0.0001469952341775089,0.008735566501849163,0.0404733549963718,0.04140508397735347,0.394791669765034,100.0,60
Restaurant,0.3859744403437228,-0.0021714768528441246,0.01019446253412697,0.030176776272889252,0.03177813054383931,0.3923609430235518,1169.2695805715082,70
Store,0.37856027868066755,-0.010095417262628772,0.01582015856062096,0.0499122717350202,0.051376987425569266,0.3876004054070474,5436.053482636711,70
Education,0.4052506467135316,-0.008719832832375896,0.028155997278751243,0.1051111423492115,0.10846693940594374,0.3937033715233294,4695.346056860648,70
Public Transportation,0.3737128833494656,-0.00018571225053017832,0.008529387408716053,0.03912336892208018,0.04004190250651379,0.3867224412734596,100.0,70
Restaurant,0.3822108823600181,-0.0019699946175201887,0.00969711513258225,0.02921686003931893,0.0307209712356014,0.3848501652801896,1178.5155468941507,80
Store,0.37524790016041265,-0.00976649268994324,0.015166620990131347,0.04851064435995441,0.04987910012233135,0.3795314689218814,5842.637016041607,80
Education,0.4047679292665251,-0.00864679608568004,0.027432314967081536,0.1033844689994367,0.10661197518197155,0.3883336462351208,5172.797695571867,80
Public Transportation,0.374378389408641,-0.0001671589842587902,0.008458772581678247,0.038654578236101314,0.03956891848501056,0.37993239949233537,100.0,80
Restaurant,0.37906234453824567,-0.001792939389618947,0.009302337522900913,0.028400775263967216,0.02983157534106261,0.3779618489605333,1203.071263227619,90
Store,0.371969104492199,-0.009464843865536048,0.014602596349820083,0.047322978483854035,0.04861190022350614,0.37236698434504056,6350.957389576167,90
Education,0.40499717241952604,-0.008588339602587883,0.02678782063427631,0.1018949352932674,0.10500669309917313,0.3838009906433823,5762.818662213189,90
Public Transportation,0.37520429968867397,-0.00014903019001624395,0.008407074771281506,0.038396434113577085,0.03930576101350345,0.37410075236689,100.0,90
Restaurant,0.3764064688435847,-0.0016525983058419628,0.008972413947985534,0.02769276528164471,0.02906307588397691,0.3715771836218273,1129.7761062994634,100
Store,0.36889253143240025,-0.009193075071732946,0.014088589026641278,0.04630778482516347,0.047522485697832774,0.365929722499933,6284.7193554211035,100
Education,0.40575486899195834,-0.008558383527029796,0.02621881799566978,0.10064771232342588,0.10365395546930863,0.3800090249921451,5850.821208762536,100
Public Transportation,0.37567349702960073,-0.00014627662035223798,0.008347131098214503,0.03816590603331851,0.039067756322384524,0.3690445083809173,100.0,100
