iteration,likelihood
2030.0,-1346.2725564634181
2040.0,-1339.9078781373246
2050.0,-1333.5868705322082
2060.0,-1327.3090743932185
2070.0,-1321.0740773066277
2080.0,-1314.881462078695
2090.0,-1308.7308171258617
2100.0,-1302.621711810926
2110.0,-1296.5537795561615
2120.0,-1290.526560726757
2130.0,-1284.5397053836214
2140.0,-1278.5928314629766
2150.0,-1272.6855343028437
2160.0,-1266.8174492275277
2170.0,-1260.9881975133044
2180.0,-1255.1974216992753
2190.0,-1249.444753756867
2200.0,-1243.729846287782
2210.0,-1238.0523523837082
2220.0,-1232.4118629129323
2230.0,-1226.8081128581766
2240.0,-1221.2406984193467
2250.0,-1215.7093497290284
2260.0,-1210.2136985729244
2270.0,-1204.7534287037279
2280.0,-1199.3282430394102
2290.0,-1193.9377731919085
2300.0,-1188.58174015164
2310.0,-1183.2598131070315
2320.0,-1177.9716993669736
2330.0,-1172.7170888954647
2340.0,-1167.4957035245402
2350.0,-1162.3072153838136
2360.0,-1157.1513240894296
2370.0,-1152.0277943440033
2380.0,-1146.93633104842
2390.0,-1141.8766316071924
2400.0,-1136.848408330941
2410.0,-1131.8513888481348
2420.0,-1126.8853573214715
2430.0,-1121.9499918105005
2440.0,-1117.045061478578
2450.0,-1112.1702834927473
2460.0,-1107.3253973794012
2470.0,-1102.5101689944113
2480.0,-1097.7243402805611
2490.0,-1092.9676704032413
2500.0,-1088.2398879412945
2510.0,-1083.540782531621
2520.0,-1078.8700911561114
2530.0,-1074.2275682614159
2540.0,-1069.6129985479047
2550.0,-1065.0261815142076
2560.0,-1060.4668497728685
2570.0,-1055.9347772833994
2580.0,-1051.4297645420106
2590.0,-1046.9515852229765
2600.0,-1042.4999949764815
2610.0,-1038.074802250686
2620.0,-1033.6758053428157
2630.0,-1029.3027956032415
2640.0,-1024.9555418264151
2650.0,-1020.6338387220976
2660.0,-1016.3374881377349
2670.0,-1012.0662921565113
2680.0,-1007.8200784226984
2690.0,-1003.5986253326774
2700.0,-999.4017498313792
2710.0,-995.2292526850877
2720.0,-991.0809486352181
2730.0,-986.9566514346685
2740.0,-982.8561888077496
2750.0,-978.7793656492964
2760.0,-974.7259861994921
2770.0,-970.695901594881
2780.0,-966.6889132757922
2790.0,-962.7048717257346
2800.0,-958.7435871972657
2810.0,-954.804916181268
2820.0,-950.8886362629689
2830.0,-946.994626294615
2840.0,-943.1226796989547
2850.0,-939.2726820512929
2860.0,-935.4444299413697
2870.0,-931.6378198522532
2880.0,-927.852663552663
2890.0,-924.0887890132038
2900.0,-920.3460667977231
2910.0,-916.6243321520628
2920.0,-912.9234453564372
2930.0,-909.2432599278546
2940.0,-905.5836022516993
2950.0,-901.944371554295
2960.0,-898.3253725087317
2970.0,-894.7264758333972
2980.0,-891.1475910368046
2990.0,-887.5885427517597
3000.0,-884.0491813818269
