MEAN_LIK_IS,MEAN_LIK_OOS,RMSE_IS,RMSE_OOS,TOTAL_LIK_IS,TOTAL_LIK_OOS,iteration,mean_gaussian_lik_is_with_computed_var,mean_gaussian_lik_is_with_model_var,mean_gaussian_lik_oos_with_computed_var,mean_gaussian_lik_oos_with_model_var,total_gaussian_lik_is_with_computed_var,total_gaussian_lik_is_with_model_var,total_gaussian_lik_oos_with_computed_var,total_gaussian_lik_oos_with_model_var,var_is,var_model,var_oos
-2.9358746230552333,-3.089551832820529,4.324695159132311,4.328373712028071,-681.1229125488142,-169.9253508051291,1.0,-2.9358746230552333,-924.5131280354597,-3.089551832820529,-926.0889110080597,-681.1229125488142,-214487.04570422665,-169.9253508051291,-50934.89010544328,12.213661513072376,0.010099985882163653,8.520797145980378
-2.238002842169171,-2.2992231163041454,2.2611777331240788,2.265656800927655,-519.2166593832477,-126.45727139672799,20.0,-2.238002842169171,-213.2270982117019,-2.2992231163041454,-214.07781858235103,-519.2166593832477,-49468.68678511484,-126.45727139672799,-11774.280022029307,4.57723367369067,0.011916958564254938,3.236267290817189
-1.8021479857782765,-2.00401383342781,1.4667767617376217,1.7689283332490588,-418.09833270056015,-110.22076083852956,40.0,-1.8021479857782765,-80.10571900223658,-2.00401383342781,-117.07334127288779,-418.09833270056015,-18584.526808518887,-110.22076083852956,-6439.0337700088285,2.1009395664017783,0.013223373851852651,2.4785323062461373
-1.6008134510118963,-1.8837100954085295,1.199462941716473,1.5851465383998453,-371.3887206347599,-103.60405524746912,60.0,-1.6008134510118963,-50.08012763289352,-1.8837100954085295,-88.37090126981875,-371.3887206347599,-11618.589610831297,-103.60405524746912,-4860.399569840031,1.435823784171077,0.01402398146657188,2.2167596161891536
-1.4838594690525748,-1.8220551148592956,1.0670746409953926,1.4930338783094295,-344.25539682019735,-100.21303131726125,80.0,-1.4838594690525748,-37.81540851977135,-1.8220551148592956,-75.17594681067337,-344.25539682019735,-8773.174776586953,-100.21303131726125,-4134.677074587035,1.1383998765508383,0.014594300861422653,2.0280693831435026
-1.4049644432996764,-1.7805012144912704,0.9861230864143553,1.4331108657481044,-325.95175084552494,-97.92756679701988,100.0,-1.4049644432996764,-31.104089321627622,-1.7805012144912704,-67.0032856822739,-325.95175084552494,-7216.148722617609,-97.92756679701988,-3685.1807125250643,0.9722629261012606,0.015061172973099394,1.8926796986517758
-1.3458206555315797,-1.744263239523319,0.9294912567038522,1.382755762393831,-312.2303920833265,-95.93447817378255,120.0,-1.3458206555315797,-26.75217108939228,-1.744263239523319,-60.61885332736103,-312.2303920833265,-6206.503692739009,-95.93447817378255,-3334.0369330048566,0.8639101917928929,0.015473312307064932,1.7831348409794014
-1.2983671392165386,-1.7178401580999658,0.8864138004254977,1.3470619669488413,-301.22117629823697,-94.48120869549813,140.0,-1.2983671392165386,-23.63039779902076,-1.7178401580999658,-56.08256238007381,-301.22117629823697,-5482.252289372816,-94.48120869549813,-3084.5409309040597,0.7857183034045508,0.01585173948328844,1.7057798173727365
-1.258673663490699,-1.6970430059349855,0.851918111769941,1.3195710308691087,-292.01228992984215,-93.3373653264242,160.0,-1.258673663490699,-21.247724849774023,-1.6970430059349855,-52.576134806402045,-292.01228992984215,-4929.472165147574,-93.3373653264242,-2891.6874143521127,0.7257615403930688,0.016207385528872877,1.6464983165514648
-1.22456608249419,-1.6799893375171915,0.8233511894181467,1.2974176270145408,-284.0993311386521,-92.39941356344553,180.0,-1.22456608249419,-19.352662090507422,-1.6799893375171915,-49.73266112686531,-284.0993311386521,-4489.817604997722,-92.39941356344553,-2735.296361977592,0.6779062148832141,0.01654682932294616,1.5987753966976523
-1.194730650066987,-1.66571674213665,0.7991489875012794,1.279145111654863,-277.177510815541,-91.61442081751575,200.0,-1.194730650066987,-17.801274144456563,-1.66571674213665,-47.36004930996454,-277.177510815541,-4129.895601513923,-91.61442081751575,-2604.8027120480497,0.6386386138470296,0.016874398666056313,1.5594715734451319
-1.168313443180006,-1.6536685620274014,0.7783141145922816,1.263910433025521,-271.04871881776137,-90.95177091150708,220.0,-1.168313443180006,-16.504050052769347,-1.6536685620274014,-45.3439986883025,-271.04871881776137,-3828.9396122424887,-90.95177091150708,-2493.9199278566375,0.6057724848555963,0.017193108321201075,1.5268020277193843
