poi_type,Cut_off,Effect_size,Effect_size_abs,Effect_size_abs_std,Effect_size_std,Effect_var,Effect_size_percentage,iteration
Restaurant,0.49667224073776906,-0.01817270707820749,0.032359969895470436,0.06502692395986767,0.0703236888165562,0.4975253981821056,-2578.40959681429,1
Store,0.4966722407377688,-0.004017427014199357,0.03414662848540958,0.08577791081923332,0.09223720779391857,0.4975253981821078,-570.0071168997429,1
Education,0.49667224073783967,-0.015593215982090361,0.04498637632634768,0.13115173837208238,0.13777301676428083,0.4975253981821468,-2212.4220436939736,1
Public Transportation,0.49667224073778155,0.0007048029568560583,0.017398652678769597,0.06490010503662233,0.06718809419527447,0.49752539818211483,100.0,1
Restaurant,0.46862199781411695,-0.01498762908171088,0.027188618331649015,0.05799868968387322,0.062277122174514116,0.4761625032558611,-1352.5412930762225,10
Store,0.46846417800345397,-0.002467429857171427,0.028966972335559605,0.0809237654893356,0.0859165472837567,0.4762035012488066,-222.67036042851936,10
Education,0.4713016780411633,-0.01291798033628673,0.037123410218482866,0.12253400299548362,0.1273807491749764,0.4763411165438239,-1165.7682300995389,10
Public Transportation,0.4684269461244173,0.0011081087992236443,0.014434992641776744,0.0569431895864706,0.05873387393777091,0.4760538688065446,100.0,10
Restaurant,0.4443381907783373,-0.012750136011634236,0.023107587618731766,0.052122379429808324,0.0555710093004176,0.45625768462299865,-1045.2447504402685,20
Store,0.4438034357662874,-0.0009841914496331848,0.0237709108193975,0.07403447909201606,0.07775083062450447,0.456539658436091,-80.68313508331187,20
Education,0.4618440788098434,-0.011355899016524722,0.03269380128059092,0.11501553101325042,0.11903151084465505,0.4572278199037016,-930.9464481572136,20
Public Transportation,0.4432550733113428,0.001219823013343405,0.01186889229588509,0.05128164867217983,0.052623094993399254,0.4557830414090063,100.0,20
Restaurant,0.42789381002621796,-0.011519555308076976,0.020756277993320332,0.04900961770636297,0.051962154972287254,0.441224815801241,-892.3219226203173,30
Store,0.427368955203579,-0.0005181987289104298,0.02079814006628525,0.0691520628220652,0.07221012320195158,0.4419834150634617,-40.140445851806966,30
